iter	Passed	Remaining
480	607	655
481	608	653
482	609	652
483	610	650
484	611	648
485	612	647
486	612	645
487	613	644
488	615	642
489	615	641
490	616	639
491	617	637
492	618	636
493	619	634
494	620	633
495	621	631
496	622	629
497	623	628
498	624	626
499	625	625
500	625	623
501	626	621
502	627	620
503	628	618
504	629	617
505	630	615
506	631	614
507	632	612
508	633	611
509	634	609
510	635	608
511	636	606
512	637	605
513	638	603
514	639	602
515	640	600
516	641	598
517	641	597
518	642	595
519	643	594
520	644	592
521	645	591
522	646	589
523	647	588
524	648	586
525	649	585
526	650	583
527	651	582
528	651	580
529	652	578
530	653	577
531	654	575
532	655	574
533	656	572
534	657	571
535	658	569
536	659	568
537	660	566
538	660	565
539	661	563
540	662	562
541	663	560
542	664	559
543	665	557
544	666	556
545	667	554
546	668	553
547	669	551
548	670	550
549	671	549
550	671	547
551	672	545
552	673	544
553	675	543
554	675	542
555	676	540
556	677	539
557	678	537
558	679	536
559	680	534
560	681	533
561	682	531
562	683	530
563	684	528
564	684	527
565	685	525
566	686	524
567	687	522
568	688	521
569	690	520
570	691	519
571	692	517
572	693	516
573	694	515
574	695	513
575	696	512
576	697	511
577	698	509
578	699	508
579	700	507
580	701	505
581	702	504
582	703	503
583	704	502
584	705	500
585	706	499
586	707	498
587	709	496
588	709	495
589	710	493
590	711	492
591	712	491
592	713	489
593	714	488
594	715	486
595	716	485
596	717	484
597	718	482
598	720	482
599	721	480
600	722	479
601	723	478
602	724	476
603	725	475
604	726	474
605	727	472
606	728	471
607	729	470
608	730	468
609	731	467
610	732	466
611	734	465
612	736	465
613	737	463
614	738	462
615	739	461
616	740	459
617	741	458
618	742	457
619	743	455
620	744	454
621	745	453
622	746	451
623	747	450
624	748	449
625	749	448
626	750	446
627	751	445
628	752	444
629	753	442
630	754	441
631	755	439
632	756	438
633	757	437
634	758	435
635	760	435
636	761	433
637	762	432
638	763	431
639	764	430
640	765	428
641	766	427
642	767	426
643	768	424
644	769	423
645	770	422
646	770	420
647	771	419
648	772	417
649	773	416
650	774	415
651	775	413
652	776	412
653	777	411
654	778	409
655	779	408
656	780	407
657	781	406
658	782	404
659	782	403
660	783	402
661	784	400
662	785	399
663	786	397
664	787	396
665	788	395
666	789	394
667	790	392
668	791	391
669	792	390
670	792	388
671	794	387
672	795	386
673	795	384
674	796	383
675	797	382
676	798	380
677	799	379
678	800	378
679	801	377
680	802	375
681	803	374
682	804	373
683	805	372
684	806	370
685	807	369
686	808	368
687	809	367
688	810	365
689	811	364
690	812	363
691	813	361
692	813	360
693	814	359
694	815	358
695	816	356
696	817	355
697	818	354
698	819	352
699	820	351
700	821	350
701	822	348
702	822	347
703	823	346
704	824	345
705	825	343
706	826	342
707	827	341
708	828	340
709	829	338
710	830	337
711	831	336
712	832	335
713	833	333
714	834	332
715	835	331
716	836	330
717	836	328
718	837	327
719	838	326
720	839	324
721	840	323
722	841	322
723	842	321
724	843	319
725	843	318
726	844	317
727	845	316
728	846	314
729	847	313
730	848	312
731	849	310
732	850	309
733	850	308
734	851	307
735	852	305
736	853	304
737	854	303
738	855	302
739	856	300
740	857	299
741	858	298
742	859	297
743	860	295
744	860	294
745	861	293
746	862	292
747	863	290
748	864	289
749	865	288
750	866	287
751	867	286
752	868	285
753	870	283
754	871	282
755	872	281
756	873	280
757	874	279
758	874	277
759	875	276
760	876	275
761	877	274
762	878	272
763	879	271
764	880	270
765	881	269
766	882	267
767	883	266
768	884	265
769	885	264
770	886	263
771	887	261
772	888	260
773	888	259
774	889	258
775	890	257
776	891	255
777	892	254
778	893	253
779	894	252
780	895	250
781	895	249
782	896	248
783	897	247
784	898	246
785	899	244
786	900	243
787	901	242
788	902	241
789	903	240
790	904	238
791	905	237
792	906	236
793	906	235
794	907	234
795	908	232
796	909	231
797	910	230
798	911	229
799	912	228
800	913	226
801	914	225
802	915	224
803	916	223
804	917	222
805	918	221
806	919	219
807	920	218
808	920	217
809	921	216
810	922	215
811	923	213
812	924	212
813	925	211
814	926	210
815	927	209
816	928	207
817	928	206
818	930	205
819	931	204
820	932	203
821	932	202
822	933	200
823	934	199
824	935	198
825	936	197
826	937	196
827	938	194
828	939	193
829	940	192
830	941	191
831	941	190
832	942	189
833	943	187
834	945	186
835	945	185
836	946	184
837	947	183
838	948	182
839	949	180
840	950	179
841	951	178
842	952	177
843	953	176
844	954	175
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	168
851	960	166
852	961	165
853	962	164
854	963	163
855	964	162
856	965	161
857	965	159
858	966	158
859	967	157
860	968	156
861	969	155
862	970	154
863	971	152
864	972	151
865	973	150
866	974	149
867	975	148
868	976	147
869	977	146
870	978	144
871	978	143
872	979	142
873	980	141
874	981	140
875	982	139
876	983	137
877	984	136
878	984	135
879	985	134
880	987	133
881	987	132
882	989	131
883	990	129
884	991	128
885	992	127
886	993	126
887	993	125
888	994	124
889	995	123
890	996	121
891	997	120
892	998	119
893	999	118
894	1000	117
895	1001	116
896	1002	115
897	1003	113
898	1004	112
899	1005	111
900	1006	110
901	1007	109
902	1008	108
903	1009	107
904	1009	106
905	1010	104
906	1012	103
907	1013	102
908	1013	101
909	1014	100
910	1015	99
911	1016	98
912	1017	96
913	1018	95
914	1019	94
915	1021	93
916	1022	92
917	1023	91
918	1024	90
919	1025	89
920	1026	88
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	78
929	1035	77
930	1036	76
931	1037	75
932	1038	74
933	1039	73
934	1040	72
935	1041	71
936	1042	70
937	1043	68
938	1043	67
939	1044	66
940	1045	65
941	1046	64
942	1047	63
943	1048	62
944	1050	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1054	55
950	1055	54
951	1056	53
952	1057	52
953	1057	51
954	1058	49
955	1059	48
956	1061	47
957	1062	46
958	1062	45
959	1064	44
960	1065	43
961	1066	42
962	1067	41
963	1068	39
964	1069	38
965	1070	37
966	1072	36
967	1073	35
968	1073	34
969	1074	33
970	1075	32
971	1076	31
972	1077	29
973	1078	28
974	1079	27
975	1081	26
976	1082	25
977	1083	24
978	1084	23
979	1085	22
980	1086	21
981	1086	19
982	1087	18
983	1088	17
984	1089	16
985	1090	15
986	1091	14
987	1092	13
988	1093	12
989	1095	11
990	1096	9
991	1098	8
992	1099	7
993	1099	6
994	1100	5
995	1101	4
996	1103	3
997	1104	2
998	1104	1
999	1105	0
